id,epic,title,priority,owner,description,acceptance,target_sprint
HOC-E0-001,E0 Repo & Demo Stabilization,Fix mobile TypeScript errors,P0,Mobile,"TypeScript compile errors block safe iteration; run typecheck, fix imports/types/null states, do not change product logic unless required.",typecheck passes; no new any-heavy workaround; route smoke test passes,S1
HOC-E0-002,E0 Repo & Demo Stabilization,Confirm Expo Web demo path,P0,Mobile,Verify demo route from Home -> AI Analysis -> Result -> Today Intake -> Meal Buddy -> Restaurant -> My page.,3-minute demo can be performed twice after refresh,S1
HOC-E0-003,E0 Repo & Demo Stabilization,Create deterministic demo seed reset,P0,Platform,Add seed reset helper for mock data and local storage adapter.,Reset returns same mock users/meals/cards/chats/tables,S1
HOC-E0-004,E0 Repo & Demo Stabilization,Audit centralized i18n,P1,Mobile/Web,Move remaining visible Traditional Chinese text into zh-TW i18n file.,No new hardcoded UI copy in touched files,S2
HOC-E1-001,E1 Core Data Foundation,Replace latestCorrectedMealRecord with meal collection,P0,Mobile/Data,Introduce mealRecords repository/collection and update all readers/writers.,Today Intake and nutrition report read same records,S1
HOC-E1-002,E1 Core Data Foundation,Unify Meal Buddy and Group Table identities,P0,Mobile/Data,"Use one mockUsers/socialCards source for meal buddy cards, matches, chats, and group tables.",Accept invite updates friend/match state; group participants link to same social cards,S1
HOC-E1-003,E1 Core Data Foundation,Create cross-platform storage adapter,P0,Mobile,Implement localStorage on web and AsyncStorage on native behind same interface.,Adapter tests/smoke checks pass; demo data persists consistently,S1
HOC-E1-004,E1 Core Data Foundation,Normalize planned dinner state,P1,Mobile/Data,Represent scheduled dinner as a planned meal state linked to daily summary.,"Planned dinner appears as planned, not eaten, and can be converted/cleared",S2
HOC-E2-001,E2 AI Meal Analysis Loop,Implement analysis result type and candidate selection,P0,AI/Mobile,"Define result, candidates, ingredient breakdown, nutrition estimate, confidence, source metadata.",Candidate selection controls final record payload,S1
HOC-E2-002,E2 AI Meal Analysis Loop,Manual correction form and recalculation,P0,Mobile/AI,"Build correction flow for restaurant, dish, ingredients, portion, cooking method, nutrition fields.",Corrected record shows updated nutrition and correction event,S2
HOC-E2-003,E2 AI Meal Analysis Loop,Save confirmed analysis to meal records,P0,Mobile/Data,Persist analysis into meal collection and update dependent surfaces.,One save creates one record; no duplicate on navigation,S2
HOC-E2-004,E2 AI Meal Analysis Loop,AI analysis page state retention,P1,Mobile,"When leaving and returning before next action, keep the same analysis result screen.",Tab away/back preserves current analysis state,S2
HOC-E3-001,E3 Today Intake & Food Diary,Fix Today Intake / full report sync,P0,Mobile/Data,"Ensure home summary, Today Intake page, full nutrition report, and diary use mealRecords aggregation.",No zero-report bug when meals exist,S2
HOC-E3-002,E3 Today Intake & Food Diary,Implement food rating placeholder,P1,Mobile,"Add post-meal rating state and entry points, with deferred notification integration.",Rating can be saved/edited in demo state,S3
HOC-E3-003,E3 Today Intake & Food Diary,Implement free/premium diary windows,P2,Mobile,Demo logic for free 14-day history and premium Top10 saved lists.,Free/premium toggle visibly changes history/toplist scope,S4
HOC-E4-001,E4 Recommendation Engine v1,Build intake-aware next-meal rule engine,P0,AI/Backend/Mobile,Use calories/macros/fiber gap and meal timing to generate safe next-meal suggestion.,Changing current intake changes recommendation reason,S2
HOC-E4-002,E4 Recommendation Engine v1,Restaurant recommendation filter flow,P1,Mobile/Data,Location/search/type/meal-period filters update restaurant list on same page.,Filters update cards without route confusion,S3
HOC-E4-003,E4 Recommendation Engine v1,Taste similarity placeholder,P2,AI/Data,Prepare rating-based similar-taste recommendation interface without full ML dependency.,Interface exists; fallback rules work when sparse data,S5
